DOI,downloads,views,data_collection_date
10.1163/24523666-01000004,208,318,2022-06-04
10.1163/24523666-01000003,432,612,2022-06-04
10.1163/24523666-01000002,1066,1346,2022-06-04
10.1163/24523666-01000001,308,541,2022-06-04
10.1163/24523666-01000005,375,611,2022-06-04
10.1163/24523666-01000007,2296,2294,2022-06-04
10.1163/24523666-01000006,482,761,2022-06-04
10.1163/24523666-01000008,209,321,2022-06-04
10.1163/24523666-01000013,2497,3413,2022-06-04
10.1163/24523666-01000009,1495,2487,2022-06-04
10.1163/24523666-01000011,1476,2072,2022-06-04
10.1163/24523666-01000010,451,788,2022-06-04
10.1163/24523666-01000012,605,689,2022-06-04
10.1163/24523666-00401004,187,337,2022-06-04
10.1163/24523666-00401003,557,721,2022-06-04
10.1163/24523666-00401002,468,587,2022-06-04
10.1163/24523666-00401001,668,742,2022-06-04
10.1163/24523666-00401005,980,1174,2022-06-04
10.1163/24523666-00401006,574,746,2022-06-04
10.1163/24523666-00401007,1363,1782,2022-06-04
10.1163/24523666-00401008,1539,1680,2022-06-04
10.1163/24523666-bja10007,344,272,2022-06-04
10.1163/24523666-00501002,902,683,2022-06-04
10.1163/24523666-bja10003,404,339,2022-06-04
10.1163/24523666-bja10011,734,673,2022-06-04
10.1163/24523666-00502010,297,292,2022-06-04
10.1163/24523666-00502009,859,1034,2022-06-04
10.1163/24523666-00502008,1630,1739,2022-06-04
10.1163/24523666-00502007,375,389,2022-06-04
10.1163/24523666-00502006,659,639,2022-06-04
10.1163/24523666-00502005,519,373,2022-06-04
10.1163/24523666-bja10013,394,510,2022-06-04
10.1163/24523666-00502003,525,466,2022-06-04
10.1163/24523666-bja10002,641,530,2022-06-04
10.1163/24523666-bja10008,781,599,2022-06-04
10.1163/24523666-06010001,170,199,2022-06-04
10.1163/24523666-06010002,257,381,2022-06-04
10.1163/24523666-06010003,4935,3238,2022-06-04
10.1163/24523666-bja10018,185,168,2022-06-04
10.1163/24523666-bja10019,119,133,2022-06-04
10.1163/24523666-bja10017,485,583,2022-06-04
10.1163/24523666-06010004,262,196,2022-06-04
10.1163/24523666-bja10009,817,539,2022-06-04
10.1163/24523666-07010001,258,190,2022-06-04
