variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all_zenodo_views,datasets_withDP_views,19.6894,381.22857142857146,6.944134377149268,5.26088911838153e-08,173307.5,1.2616648112992026e-23
all_zenodo_views,datasets_withDP_views,19.7492,381.22857142857146,6.94298754497551,5.278601024120245e-08,173343.5,1.2131233247948272e-23
all_zenodo_views,datasets_withDP_views,19.9846,381.22857142857146,6.938465010514245,5.348904286458402e-08,173307.5,1.2693350684845487e-23
all_zenodo_views,datasets_withDP_views,19.8852,381.22857142857146,6.9403720408486524,5.3191013738859955e-08,173264.5,1.333359362628912e-23
all_zenodo_views,datasets_withDP_views,19.8304,381.22857142857146,6.941425112162651,5.302743861917839e-08,173290.0,1.2954094264084716e-23
all_zenodo_views,datasets_withDP_views,19.824,381.22857142857146,6.941550430927465,5.300838564997274e-08,173344.5,1.2111174077515905e-23
all_zenodo_views,datasets_withDP_views,20.2198,381.22857142857146,6.933940634070498,5.42008849429283e-08,173132.0,1.5519456768610303e-23
all_zenodo_views,datasets_withDP_views,19.4236,381.22857142857146,6.94924219313234,5.1828943365207585e-08,173394.0,1.1390472271976396e-23
all_zenodo_views,datasets_withDP_views,20.4256,381.22857142857146,6.929989255600893,5.483165066122264e-08,173165.5,1.499531631567722e-23
all_zenodo_views,datasets_withDP_views,20.0952,381.22857142857146,6.936337784942322,5.3822596130875645e-08,173228.0,1.3865921369234504e-23
