variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.814,13.5625,2.6770898559124823,0.01722231895140476,59790.0,0.0005031955663420911
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.5986,13.5625,2.7430456107924654,0.015087561327710643,60596.0,0.0002892515574081893
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.816,13.5625,2.67649075103645,0.01724321242584838,59767.0,0.0005175963064524866
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.6068,13.5625,2.7405425608500154,0.01516380148965434,60483.0,0.00030891931739870124
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.5732,13.5625,2.7508103788221074,0.014853584191257454,60724.5,0.0002566174875072254
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.6444,13.5625,2.7290284054850575,0.015518759642181372,60373.5,0.00033838847918013054
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.5906,13.5625,2.745492728441895,0.015013462626305171,60609.5,0.0002833881188698372
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.6986,13.5625,2.712425714487557,0.016044703226760465,60176.0,0.0003828793126941147
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.6162,13.5625,2.7376629113202604,0.0152518132395596,60495.0,0.000307149957664872
all-HSS-res-papers_Alt,res-papers-with-data-paper_Alt,4.712,13.5625,2.708321164407298,0.016177366511742886,60168.5,0.00038692919718686227
