variable1,variable2,rho,p-value,Strength of correlation,Significative?
altmetric_datapaper_johd,downloads_dataset_johd,0.0449403120960054,0.7566406992551138,Weak,Not significative
tot_citations_datapaper_johd,downloads_dataset_johd,-0.0405038976297387,0.7777897780991047,Weak,Not significative
tot_citations_research_johd,tot_citations_datapaper_johd,-0.1323794604785033,0.5890300644903673,Weak,Not significative
tot_citations_research_johd,altmetric_datapaper_johd,0.3244762456698859,0.1753055099321171,Weak,Not significative
tot_citations_research_johd,views_datapaper_johd,-0.0514197329203644,0.8344054777670781,Weak,Not significative
tot_citations_research_johd,downloads_datapaper_johd,0.007092376954533,0.977011072847408,Weak,Not significative
altmetric_research_johd,tot_citations_datapaper_johd,0.6317295463403139,0.0205522568997924,Moderate,Significative
altmetric_research_johd,altmetric_datapaper_johd,0.2011026914641266,0.51001840143134,Weak,Not significative
altmetric_research_johd,views_datapaper_johd,0.4380181909972074,0.1343842559965992,Moderate,Not significative
altmetric_research_johd,downloads_datapaper_johd,0.4710761676762419,0.1041901070638821,Moderate,Not significative
altmetric_datapaper_johd,tot_citations_datapaper_johd,0.0669428475614974,0.6051828025011126,Weak,Not significative
views_datapaper_johd,tot_citations_datapaper_johd,0.238524458758753,0.0597560403411019,Weak,Borderline
altmetric_datapaper_johd,views_datapaper_johd,0.2273128405979974,0.075604903966055,Weak,Not significative
altmetric_datapaper_johd,downloads_datapaper_johd,0.2579572324125389,0.042947515214705,Weak,Significative
altmetric_research_johd,tot_citations_research_johd,0.0331496772065897,0.9143863113766086,Weak,Not significative
tot_citations_research_johd,downloads_dataset_johd,0.0217001384895201,0.9388134802842424,Weak,Not significative
altmetric_datapaper_all,tot_citations_datapaper_all,0.0820151049347749,0.5061166169253803,Weak,Not significative
views_datapaper_all,tot_citations_datapaper_all,0.2043131693753033,0.089777037108306,Weak,Not significative
downloads_datapaper_all,tot_citations_datapaper_all,0.1846337812957384,0.1259843496160993,Weak,Not significative
views_datapaper_all,altmetric_datapaper_all,0.0734474104858356,0.5516838556959711,Weak,Not significative
downloads_datapaper_all,altmetric_datapaper_all,0.0214078385737446,0.8624309705455968,Weak,Not significative
views_datapaper_all,downloads_datapaper_all,0.8650626882398265,4.710263491343191e-22,Strong,Significative
tot_citations_datapaper_all,tot_citations_research_all,-0.1279071814082836,0.6017846193415539,Weak,Not significative
altmetric_research_all,altmetric_datapaper_all,0.1983478600742071,0.515951994239241,Weak,Not significative
altmetric_research_all,tot_citations_datapaper_all,0.675867855254921,0.0112179930206684,Moderate,Significative
altmetric_datapaper_all,tot_citations_research_all,0.321816604311936,0.1790758059676059,Weak,Not significative
views_datapaper_all,tot_citations_research_all,-0.0540793742783143,0.8259618930926712,Weak,Not significative
downloads_datapaper_all,tot_citations_research_all,0.0132982067897494,0.9569093933435636,Weak,Not significative
views_datapaper_all,altmetric_research_all,0.5013793129653569,0.0808905439984809,Moderate,Not significative
downloads_datapaper_all,altmetric_research_all,0.5344372896443913,0.0598951204707314,Moderate,Borderline
downloads_dataset_all,tot_citations_datapaper_all,-0.0182397625212991,0.8919025111146333,Weak,Not significative
downloads_dataset_all,altmetric_datapaper_all,0.1385057181613544,0.3086676250901678,Weak,Not significative
downloads_dataset_all,downloads_datapaper_all,-0.1853305065155061,0.1636774929153363,Weak,Not significative
downloads_dataset_all,views_datapaper_all,0.0054622108603573,0.9675400969228216,Weak,Not significative
views_dataset_all,tot_citations_datapaper_all,0.1922471259873068,0.1857114604497085,Weak,Not significative
views_dataset_all,altmetric_datapaper_all,0.3386545044900947,0.0185496162893098,Weak,Significative
views_dataset_all,downloads_datapaper_all,0.0879395703692215,0.5479388215665003,Weak,Not significative
views_dataset_all,views_datapaper_all,0.1976726384445706,0.1733667372589797,Weak,Not significative
downloads_dataset_all,tot_citations_research_all,0.1132737796871996,0.6544969660226799,Weak,Not significative
downloads_dataset_all,altmetric_research_all,0.1413436386025534,0.6612626068890668,Weak,Not significative
views_dataset_all,tot_citations_research_all,-0.208164421718884,0.3652042193243341,Weak,Not significative
views_dataset_all,altmetric_research_all,-0.0685842386451625,0.8157876438770605,Weak,Not significative
