variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.6932,2.962962962962963,4.043676638435964,0.00041590970963102447,102650.5,1.7810796053179912e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.669,2.962962962962963,4.086864714973065,0.00037152729295524206,103133.0,8.448724421935442e-09
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.7424,2.962962962962963,3.9558804273633745,0.0005228899998094267,101694.5,7.223144637015703e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.7002,2.962962962962963,4.031244181694967,0.00042966779302470656,102427.0,3.193761320794283e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.7232,2.962962962962963,3.990158566510747,0.00047823888511037017,102045.0,4.7872529957885645e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.6786,2.962962962962963,4.069747828199938,0.00038853721291158647,102911.0,1.264495096282162e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.6956,2.962962962962963,4.0394303469952275,0.0004205694114545267,102552.0,2.4503214009318315e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.693,2.962962962962963,4.043984064486512,0.0004155453401399486,102747.0,1.4762669838051253e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.7262,2.962962962962963,3.9848587528138024,0.00048492781015011015,101881.0,6.000506180459913e-08
all-HSS-res-papers_cit,res-papers-with-data-paper_cit,0.6972,2.962962962962963,4.036547860891563,0.0004237290445485028,102560.0,2.016781382105859e-08
