variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all_zenodo_downloads,datasets_withDP_downloads,0.031930752069347826,0.013661830287230246,-4.900312435527655,1.0601140430592682e-05,54735.5,0.04015016279282513
all_zenodo_downloads,datasets_withDP_downloads,0.03536661367788328,0.013661830287230246,-3.9400241737946837,0.00010792440352444249,55121.5,0.03426449604416942
all_zenodo_downloads,datasets_withDP_downloads,0.04505413378160457,0.013661830287230246,-2.1036068193172555,0.03547862502323581,55338.0,0.0312983131869728
all_zenodo_downloads,datasets_withDP_downloads,0.03128865458205663,0.013661830287230246,-2.8205016242990597,0.005050164967831536,55528.5,0.02887329549634888
all_zenodo_downloads,datasets_withDP_downloads,0.03819458345816295,0.013661830287230246,-2.94931866779978,0.00325648384654624,55833.5,0.025327518457204143
all_zenodo_downloads,datasets_withDP_downloads,0.0386022100883467,0.013661830287230246,-4.339072004687432,2.0180811163830807e-05,55210.0,0.03302415453495477
all_zenodo_downloads,datasets_withDP_downloads,0.039885587783892805,0.013661830287230246,-4.636352106435359,5.656596504810747e-06,55238.5,0.03263299113920133
all_zenodo_downloads,datasets_withDP_downloads,0.08600136259800441,0.013661830287230246,-1.692097479884008,0.09068953499871306,54789.0,0.03928641004722821
all_zenodo_downloads,datasets_withDP_downloads,0.03454918005663193,0.013661830287230246,-4.171245212862638,4.960030740081956e-05,54916.0,0.03729898478610058
all_zenodo_downloads,datasets_withDP_downloads,0.03799450431638943,0.013661830287230246,-4.3226981553775365,2.222740072291447e-05,54850.0,0.03832087142443642
