variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all_zenodo_views,datasets_withDP_views,0.08474693261957092,0.6076678070234328,5.663158523410579,5.708271621447879e-06,127858.5,1.0128257566819253e-15
all_zenodo_views,datasets_withDP_views,0.08614203269635305,0.6076678070234328,5.652982921803465,5.93483813473787e-06,127670.5,1.2411861972508133e-15
all_zenodo_views,datasets_withDP_views,0.07452379276563846,0.6076678070234328,5.781012389075686,4.272009234460248e-06,128139.0,7.469451348047152e-16
all_zenodo_views,datasets_withDP_views,0.0826384192581006,0.6076678070234328,5.691818769828468,5.373704994045275e-06,127601.5,1.337145232690664e-15
all_zenodo_views,datasets_withDP_views,0.07523953539769981,0.6076678070234328,5.772937759484991,4.3592563374548984e-06,128357.0,5.889765545225945e-16
all_zenodo_views,datasets_withDP_views,0.07802030982075239,0.6076678070234328,5.73980769597625,4.716408778541708e-06,128516.5,4.94732223574506e-16
all_zenodo_views,datasets_withDP_views,0.07379199373675559,0.6076678070234328,5.790174626834303,4.184516550827506e-06,128113.0,7.6837142014900985e-16
all_zenodo_views,datasets_withDP_views,0.08427786278312639,0.6076678070234328,5.671664485905854,5.6305224225403e-06,127685.0,1.221901352954102e-15
all_zenodo_views,datasets_withDP_views,0.0870396679219528,0.6076678070234328,5.640781272119377,6.089802054029821e-06,127484.5,1.5168273198795941e-15
all_zenodo_views,datasets_withDP_views,0.08338381360157456,0.6076678070234328,5.680908016917602,5.489974271017614e-06,127774.0,1.1098311936910892e-15
