variable1,variable2,mean_variable1,mean_variable2,welchs_stats,welchs_pvalue,mannwhit_stats,mannwhit_pvalue
all_zenodo_downloads,datasets_withDP_downloads,9.7436,96.25714285714285,4.823661685577337,2.9032861949442034e-05,157470.0,2.343164271205934e-16
all_zenodo_downloads,datasets_withDP_downloads,9.8296,96.25714285714285,4.818874529627205,2.944938602290947e-05,157250.0,2.9823758615512516e-16
all_zenodo_downloads,datasets_withDP_downloads,9.9198,96.25714285714285,4.813839095161654,2.9893134667865394e-05,157204.0,3.1800083647084145e-16
all_zenodo_downloads,datasets_withDP_downloads,9.725,96.25714285714285,4.824707565075481,2.8943186540324258e-05,157516.5,2.3011910664095906e-16
all_zenodo_downloads,datasets_withDP_downloads,9.5368,96.25714285714285,4.83519990085954,2.805413915305838e-05,157914.0,1.5328095036102628e-16
all_zenodo_downloads,datasets_withDP_downloads,10.0182,96.25714285714285,4.808350543257479,3.038462067258149e-05,156915.0,4.2045577867215186e-16
all_zenodo_downloads,datasets_withDP_downloads,9.807,96.25714285714285,4.820131885054202,2.933938009664015e-05,157418.0,2.522952984853372e-16
all_zenodo_downloads,datasets_withDP_downloads,9.9902,96.25714285714285,4.80991104180616,3.0244003409367942e-05,157038.5,3.6731770788027744e-16
all_zenodo_downloads,datasets_withDP_downloads,9.8148,96.25714285714285,4.819697222913747,2.9377325348338863e-05,157333.5,2.7125583372407266e-16
all_zenodo_downloads,datasets_withDP_downloads,9.6504,96.25714285714285,4.828873668724281,2.858724578496029e-05,157596.5,2.1096017513696664e-16
