DOI,article_title,article_type,authors,date,downloads,views,tweets,data_collection_date
10.5334/johd.30,“d-Prose 1870–1920” a Collection of German Prose Texts from 1870 to 1920,Data Papers,"Evelyn Gius, Svenja Guhr, Inna Uglanova",2021-07-08,12,148,6,2022-04-04
10.5334/johd.33,MuSe: The Musical Sentiment Dataset,Data Papers,"Christopher Akiki, Manuel Burghardt",2021-07-07,44,544,3,2022-04-04
10.5334/johd.32,"A Telegram Corpus for Hate Speech, Offensive Language, and Online Harm",Data Papers,"Veronika Solopova, Tatjana Scheffler, Mihaela Popa-Wyatt",2021-07-05,106,833,1,2022-04-04
10.5334/johd.31,The Telegram Chronicles of Online Harm,Research Papers,"Tatjana Scheffler, Veronika Solopova, Mihaela Popa-Wyatt",2021-07-05,76,545,1,2022-04-04
10.5334/johd.44,Automatic Language Identification in Code-Switched Hindi-English Social Media Text,Research Papers,"Li Nguyen, Christopher Bryant, Sana Kidwai, Theresa Biberauer",2021-06-25,61,441,0,2022-04-04
10.5334/johd.24,A Dataset of COVID-Related Misinformation Videos and their Spread on Social Media,Data Papers,"Aleksi Knuutila, Aliaksandr Herasimenko, Hubert Au, Jonathan Bright, Philip N. Howard",2021-06-11,150,786,2,2022-04-04
10.5334/johd.28,Digital Narratives of COVID-19: A Twitter Dataset for Text Analysis in Spanish,Data Papers,"Susanna Allés-Torrent, Gimena del Rio Riande, Jerry Bonnell, Dieyun Song, Nidia Hernández",2021-06-10,32,463,6,2022-04-04
10.5334/johd.25,The Lothian Diary Project: Investigating the Impact of the COVID-19 Pandemic on Edinburgh and Lothian Residents,Data Papers,"Lauren Hall-Lew, Claire Cowie, Stephen Joseph McNulty, Nina Markl, Shan-Jan Sarah Liu, Catherine Lai, Clare Llewellyn, Beatrice Alex, Nini Fang, Zuzana Elliott, Anita Klingler",2021-04-16,56,288,6,2022-04-04
10.5334/johd.27,A Bibliography of Cuneiform Tablet Editions in United States Colleges and Universities through 2020,Data Papers,Sara Mohr,2021-03-29,52,406,19,2022-04-04
10.5334/johd.22,A Collection of Swedish Diachronic Word Embedding Models Trained on Historical Newspaper Data,Data Papers,"Simon Hengchen, Nina Tahmasebi",2021-01-27,54,305,6,2022-04-04
10.5334/johd.23,Converting the British Library’s Catalogue of British and Irish Newspapers into a Public Domain Dataset: Processes and Applications,Data Papers,"Yann Ryan, Luke McKernan",2021-01-22,40,381,34,2022-04-04
10.5334/johd.20,Collection Objects from the Digital Occupy Archive,Data Papers,"Stephanie Becker, Heather McKee Hurwitz, Anne Kumer",2020-11-23,40,374,5,2022-04-04
